ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_week,month_name,hour_of_day
5B29C4C95B5320DA,electric_bike,"2025-01-10 06:06:43","2025-01-10 06:11:44","Sheffield Ave & Webster Ave",TA1309000033,"Halsted St & Clybourn Ave",331,41.921540,-87.653818,41.909668,-87.648128,member,5,Friday,January,6
18048F3531DAF576,electric_bike,"2025-01-16 09:20:05","2025-01-16 09:23:32","Canal St & Jackson Blvd",13138,"Halsted St & Polk St",TA1307000121,41.878125,-87.639968,41.871840,-87.646640,member,3,Thursday,January,9
E2ACFA5C736376F6,electric_bike,"2025-01-04 15:26:24","2025-01-04 15:42:19","California Ave & Fletcher St",15642,"Kosciuszko Park",15643,41.938429,-87.698008,41.930585,-87.723777,member,15,Saturday,January,15
B1810A3462EAA084,classic_bike,"2025-01-17 08:13:25","2025-01-17 08:15:55","Hermitage Ave & Polk St",13080,"Wood St & Taylor St (Temp)",13285,41.871514,-87.669886,41.869265,-87.673731,member,2,Friday,January,8
461D6EC2A99BC110,classic_bike,"2025-01-09 09:45:47","2025-01-09 10:05:59","Racine Ave & 15th St",13304,"Stetson Ave & South Water St",TA1308000029,41.861267,-87.656625,41.886835,-87.622320,casual,20,Thursday,January,9
172BD369FF6D3ADA,classic_bike,"2025-01-27 16:51:00","2025-01-27 17:19:19","Central Park Ave & Elbridge Ave",15644,"Kimball Ave & Belmont Ave",KA150400009X,41.935337,-87.716889,41.939394,-87.712068,member,28,Monday,January,16
AF381E3683CE622B,classic_bike,"2025-01-13 18:24:37","2025-01-13 18:31:15","Morgan St & Polk St",TA1307000130,"Desplaines St & Jackson Blvd",15539,41.871737,-87.651030,41.878119,-87.643948,member,6,Monday,January,18
90912007C68DC8DA,electric_bike,"2025-01-30 17:35:09","2025-01-30 17:51:53","Ritchie Ct & Banks St",KA1504000134,"Stetson Ave & South Water St",TA1308000029,41.906866,-87.626217,41.886835,-87.622320,member,16,Thursday,January,17
5A7142E8A39FC161,electric_bike,"2025-01-24 15:56:44","2025-01-24 16:00:28","Aberdeen St & Jackson Blvd",13157,"Desplaines St & Jackson Blvd",15539,41.877873,-87.654779,41.878119,-87.643948,member,3,Friday,January,15
2D20CCFBE6719E47,classic_bike,"2025-01-09 13:12:04","2025-01-09 13:19:14","Clinton St & Roosevelt Rd",WL-008,"Desplaines St & Jackson Blvd",15539,41.867118,-87.641088,41.878119,-87.643948,member,7,Thursday,January,13
009707A9E9077E1D,classic_bike,"2025-01-09 17:09:17","2025-01-09 17:48:46","Shedd Aquarium",15544,"DuSable Lake Shore Dr & North Blvd",LF-005,41.867226,-87.615355,41.911722,-87.626804,member,39,Thursday,January,17
3DE54C00139A213B,classic_bike,"2025-01-15 11:53:07","2025-01-15 11:56:36","Sheffield Ave & Willow St",TA1306000032,"Sheffield Ave & Willow St",TA1306000032,41.913688,-87.652855,41.913688,-87.652855,member,3,Wednesday,January,11
DAFEB128254B6252,classic_bike,"2025-01-01 17:21:53","2025-01-01 17:36:24","Clark St & Elm St",TA1307000039,"Canal St & Monroe St",13056,41.902973,-87.631280,41.882906,-87.639741,member,14,Wednesday,January,17
29EB50E4965FA8A6,electric_bike,"2025-01-28 07:17:02","2025-01-28 07:21:39","Sawyer Ave & Irving Park Rd",KA1504000096,"Drake Ave & Addison St",KA1504000142,41.953586,-87.709311,41.947326,-87.717582,member,4,Tuesday,January,7
260FC94B2A150AE5,electric_bike,"2025-01-16 09:10:03","2025-01-16 09:22:46","Desplaines St & Randolph St",15535,"Canal St & Monroe St",13056,41.883703,-87.644238,41.882906,-87.639741,casual,12,Thursday,January,9
4B81EE1E1B413989,electric_bike,"2025-01-17 10:39:30","2025-01-17 10:48:08","Lincoln Ave & Roscoe St*",chargingstx5,"Racine Ave & Fullerton Ave",TA1306000026,41.943350,-87.670668,41.925566,-87.658416,casual,8,Friday,January,10
0B6242FC5805AB59,electric_bike,"2025-01-28 12:28:18","2025-01-28 12:50:01","Clark St & Schreiber Ave",KA1504000156,"Racine Ave & Fullerton Ave",TA1306000026,41.999245,-87.671249,41.925566,-87.658416,casual,21,Tuesday,January,12
83D1D41B252447DB,classic_bike,"2025-01-18 16:48:21","2025-01-18 16:56:52","Michigan Ave & 8th St",623,"Michigan Ave & 8th St",623,41.872773,-87.623981,41.872773,-87.623981,casual,8,Saturday,January,16
358ED720AFD7C8CB,classic_bike,"2025-01-17 22:15:05","2025-01-17 22:16:09","Michigan Ave & 8th St",623,"Michigan Ave & 8th St",623,41.872773,-87.623981,41.872773,-87.623981,casual,1,Friday,January,22
21541548CF3FF7D1,classic_bike,"2025-01-05 11:14:13","2025-01-05 11:27:15","Woodlawn Ave & 55th St",TA1307000164,"Woodlawn Ave & 55th St",TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual,13,Sunday,January,11
D09E525EB019E3E8,electric_bike,"2025-01-23 13:29:09","2025-01-23 13:43:54","Woodlawn Ave & 55th St",TA1307000164,"Woodlawn Ave & 55th St",TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual,14,Thursday,January,13
3AD12C150A88E79E,electric_bike,"2025-01-28 16:23:51","2025-01-28 16:28:00","Racine Ave & Belmont Ave",TA1308000019,"Racine Ave & Fullerton Ave",TA1306000026,41.939743,-87.658865,41.925566,-87.658416,casual,4,Tuesday,January,16
D36106CA93DC1B8C,electric_bike,"2025-01-12 15:29:43","2025-01-12 15:37:17","Woodlawn Ave & 55th St",TA1307000164,"Woodlawn Ave & 55th St",TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual,7,Sunday,January,15
27064F31728CCFE3,classic_bike,"2025-01-31 00:05:00","2025-01-31 00:11:18","Racine Ave & Fullerton Ave",TA1306000026,"Racine Ave & Belmont Ave",TA1308000019,41.925566,-87.658416,41.939743,-87.658865,casual,6,Friday,January,0
2FA0F717FE44CBFC,electric_bike,"2025-01-16 11:54:17","2025-01-16 12:16:33","Dusable Harbor",KA1503000064,"Racine Ave & Belmont Ave",TA1308000019,41.886875,-87.612842,41.939743,-87.658865,member,22,Thursday,January,11
